timestamp,open,high,low,close,volume
1704067200000,2000.00,2003.68,1995.02,1998.70,1000.00
1704068100000,1998.70,2001.82,1994.98,1998.10,1015.00
1704069000000,1998.10,2000.76,1995.54,1998.20,1030.00
1704069900000,1998.20,2001.00,1996.20,1999.00,1045.00
1704070800000,1999.00,2003.06,1996.44,2000.50,1060.00
1704071700000,2000.50,2005.82,1997.38,2002.70,1075.00
1704072600000,2002.70,2009.28,1999.02,2005.60,1090.00
1704073500000,2005.60,2009.28,2000.62,2004.30,1105.00
1704074400000,2004.30,2007.42,2000.58,2003.70,1120.00
1704075300000,2003.70,2006.36,2001.14,2003.80,1135.00
1704076200000,2003.80,2006.60,2001.80,2004.60,1150.00
1704077100000,2004.60,2008.66,2002.04,2006.10,1165.00
1704078000000,2006.10,2011.42,2002.98,2008.30,1180.00
1704078900000,2008.30,2014.88,2004.62,2011.20,1195.00
1704079800000,2011.20,2014.88,2006.22,2009.90,1210.00
1704080700000,2009.90,2013.02,2006.18,2009.30,1225.00
1704081600000,2009.30,2011.96,2006.74,2009.40,1240.00
1704082500000,2009.40,2012.20,2007.40,2010.20,1255.00
1704083400000,2010.20,2014.26,2007.64,2011.70,1270.00
1704084300000,2011.70,2017.02,2008.58,2013.90,1285.00
1704085200000,2013.90,2020.48,2010.22,2016.80,1000.00
1704086100000,2016.80,2020.48,2011.82,2015.50,1015.00
1704087000000,2015.50,2018.62,2011.78,2014.90,1030.00
1704087900000,2014.90,2017.56,2012.34,2015.00,1045.00
1704088800000,2015.00,2017.80,2013.00,2015.80,1060.00
1704089700000,2015.80,2018.46,2013.24,2015.90,1075.00
1704090600000,2015.90,2019.82,2012.78,2016.70,1090.00
1704091500000,2016.70,2021.88,2013.02,2018.20,1105.00
1704092400000,2018.20,2021.88,2011.82,2015.50,1120.00
1704093300000,2015.50,2018.62,2010.38,2013.50,1135.00
1704094200000,2013.50,2016.06,2009.64,2012.20,1150.00
1704095100000,2012.20,2014.20,2009.60,2011.60,1165.00
1704096000000,2011.60,2014.26,2009.04,2011.70,1180.00
1704096900000,2011.70,2015.62,2008.58,2012.50,1195.00
1704097800000,2012.50,2017.68,2008.82,2014.00,1210.00
1704098700000,2014.00,2017.68,2007.62,2011.30,1225.00
1704099600000,2011.30,2014.42,2006.18,2009.30,1240.00
1704100500000,2009.30,2011.86,2005.44,2008.00,1255.00
1704101400000,2008.00,2010.00,2005.40,2007.40,1270.00
1704102300000,2007.40,2010.06,2004.84,2007.50,1285.00
1704103200000,2007.50,2011.42,2004.38,2008.30,1000.00
1704104100000,2008.30,2013.48,2004.62,2009.80,1015.00
1704105000000,2009.80,2013.48,2003.42,2007.10,1030.00
1704105900000,2007.10,2010.22,2001.98,2005.10,1045.00
1704106800000,2005.10,2007.66,2001.24,2003.80,1060.00
1704107700000,2003.80,2005.80,2001.20,2003.20,1075.00
1704108600000,2003.20,2005.86,2000.64,2003.30,1090.00
1704109500000,2003.30,2007.22,2000.18,2004.10,1105.00
1704110400000,2004.10,2009.28,2000.42,2005.60,1120.00
1704111300000,2005.60,2009.28,1999.22,2002.90,1135.00
1704112200000,2002.90,2006.02,1999.18,2002.30,1150.00
1704113100000,2002.30,2004.96,1999.74,2002.40,1165.00
1704114000000,2002.40,2005.20,2000.40,2003.20,1180.00
1704114900000,2003.20,2007.26,2000.64,2004.70,1195.00
1704115800000,2004.70,2010.02,2001.58,2006.90,1210.00
1704116700000,2006.90,2013.48,2003.22,2009.80,1225.00
1704117600000,2009.80,2013.48,2004.82,2008.50,1240.00
1704118500000,2008.50,2011.62,2004.78,2007.90,1255.00
1704119400000,2007.90,2010.56,2005.34,2008.00,1270.00
1704120300000,2008.00,2010.80,2006.00,2008.80,1285.00
1704121200000,2008.80,2012.86,2006.24,2010.30,1000.00
1704122100000,2010.30,2015.62,2007.18,2012.50,1015.00
1704123000000,2012.50,2019.08,2008.82,2015.40,1030.00
1704123900000,2015.40,2019.08,2010.42,2014.10,1045.00
1704124800000,2014.10,2017.22,2010.38,2013.50,1060.00
1704125700000,2013.50,2016.16,2010.94,2013.60,1075.00
1704126600000,2013.60,2016.40,2011.60,2014.40,1090.00
1704127500000,2014.40,2018.46,2011.84,2015.90,1105.00
1704128400000,2015.90,2021.22,2012.78,2018.10,1120.00
1704129300000,2018.10,2024.68,2014.42,2021.00,1135.00
1704130200000,2021.00,2024.68,2016.02,2019.70,1150.00
1704131100000,2019.70,2022.82,2015.98,2019.10,1165.00
1704132000000,2019.10,2021.76,2016.54,2019.20,1180.00
1704132900000,2019.20,2022.00,2017.20,2020.00,1195.00
1704133800000,2020.00,2024.06,2017.44,2021.50,1210.00
1704134700000,2021.50,2025.42,2018.38,2022.30,1225.00
1704135600000,2022.30,2027.48,2018.62,2023.80,1240.00
1704136500000,2023.80,2027.48,2017.42,2021.10,1255.00
1704137400000,2021.10,2024.22,2015.98,2019.10,1270.00
1704138300000,2019.10,2021.66,2015.24,2017.80,1285.00
1704139200000,2017.80,2019.80,2015.20,2017.20,1000.00
1704140100000,2017.20,2019.86,2014.64,2017.30,1015.00
1704141000000,2017.30,2021.22,2014.18,2018.10,1030.00
1704141900000,2018.10,2023.28,2014.42,2019.60,1045.00
1704142800000,2019.60,2023.28,2013.22,2016.90,1060.00
1704143700000,2016.90,2020.02,2011.78,2014.90,1075.00
1704144600000,2014.90,2017.46,2011.04,2013.60,1090.00
1704145500000,2013.60,2015.60,2011.00,2013.00,1105.00
1704146400000,2013.00,2015.66,2010.44,2013.10,1120.00
1704147300000,2013.10,2017.02,2009.98,2013.90,1135.00
1704148200000,2013.90,2019.08,2010.22,2015.40,1150.00
1704149100000,2015.40,2019.08,2009.02,2012.70,1165.00
1704150000000,2012.70,2015.82,2007.58,2010.70,1180.00
1704150900000,2010.70,2013.26,2006.84,2009.40,1195.00
1704151800000,2009.40,2011.40,2006.80,2008.80,1210.00
1704152700000,2008.80,2011.46,2006.24,2008.90,1225.00
1704153600000,2008.90,2012.82,2005.78,2009.70,1240.00
1704154500000,2009.70,2014.88,2006.02,2011.20,1255.00
1704155400000,2011.20,2014.88,2004.82,2008.50,1270.00
1704156300000,2008.50,2011.62,2003.38,2006.50,1285.00
1704157200000,2006.50,2009.16,2003.94,2006.60,1000.00
1704158100000,2006.60,2009.40,2004.60,2007.40,1015.00
1704159000000,2007.40,2011.46,2004.84,2008.90,1030.00
1704159900000,2008.90,2014.22,2005.78,2011.10,1045.00
1704160800000,2011.10,2017.68,2007.42,2014.00,1060.00
1704161700000,2014.00,2017.68,2009.02,2012.70,1075.00
1704162600000,2012.70,2015.82,2008.98,2012.10,1090.00
1704163500000,2012.10,2014.76,2009.54,2012.20,1105.00
1704164400000,2012.20,2015.00,2010.20,2013.00,1120.00
1704165300000,2013.00,2017.06,2010.44,2014.50,1135.00
1704166200000,2014.50,2019.82,2011.38,2016.70,1150.00
1704167100000,2016.70,2023.28,2013.02,2019.60,1165.00
1704168000000,2019.60,2023.28,2014.62,2018.30,1180.00
1704168900000,2018.30,2021.42,2014.58,2017.70,1195.00
1704169800000,2017.70,2020.36,2015.14,2017.80,1210.00
1704170700000,2017.80,2020.60,2015.80,2018.60,1225.00
1704171600000,2018.60,2022.66,2016.04,2020.10,1240.00
1704172500000,2020.10,2025.42,2016.98,2022.30,1255.00
1704173400000,2022.30,2028.88,2018.62,2025.20,1270.00
1704174300000,2025.20,2028.88,2020.22,2023.90,1285.00
1704175200000,2023.90,2027.02,2020.18,2023.30,1000.00
1704176100000,2023.30,2025.96,2020.74,2023.40,1015.00
1704177000000,2023.40,2026.20,2021.40,2024.20,1030.00
1704177900000,2024.20,2028.26,2021.64,2025.70,1045.00
1704178800000,2025.70,2031.02,2022.58,2027.90,1060.00
1704179700000,2027.90,2033.08,2024.22,2029.40,1075.00
1704180600000,2029.40,2033.08,2023.02,2026.70,1090.00
1704181500000,2026.70,2029.82,2021.58,2024.70,1105.00
1704182400000,2024.70,2027.26,2020.84,2023.40,1120.00
1704183300000,2023.40,2025.40,2020.80,2022.80,1135.00
1704184200000,2022.80,2025.46,2020.24,2022.90,1150.00
1704185100000,2022.90,2026.82,2019.78,2023.70,1165.00
1704186000000,2023.70,2028.88,2020.02,2025.20,1180.00
1704186900000,2025.20,2028.88,2018.82,2022.50,1195.00
1704187800000,2022.50,2025.62,2017.38,2020.50,1210.00
1704188700000,2020.50,2023.06,2016.64,2019.20,1225.00
1704189600000,2019.20,2021.20,2016.60,2018.60,1240.00
1704190500000,2018.60,2021.26,2016.04,2018.70,1255.00
1704191400000,2018.70,2022.62,2015.58,2019.50,1270.00
1704192300000,2019.50,2024.68,2015.82,2021.00,1285.00
1704193200000,2021.00,2024.68,2014.62,2018.30,1000.00
1704194100000,2018.30,2021.42,2013.18,2016.30,1015.00
1704195000000,2016.30,2018.86,2012.44,2015.00,1030.00
1704195900000,2015.00,2017.00,2012.40,2014.40,1045.00
1704196800000,2014.40,2017.06,2011.84,2014.50,1060.00
1704197700000,2014.50,2018.42,2011.38,2015.30,1075.00
1704198600000,2015.30,2020.48,2011.62,2016.80,1090.00
